condition,range,layer,resid_post_final_token_norm
Collaborative framing - Opus reflective,20-25,6,18.156250
Collaborative framing - Opus reflective,20-25,7,24.015625
Collaborative framing - Opus reflective,20-25,8,28.390625
Collaborative framing - Opus reflective,20-25,9,36.312500
Collaborative framing - Opus reflective,20-25,10,44.968750
Collaborative framing - Opus reflective,20-25,11,47.750000
Collaborative framing - Opus reflective,20-25,12,59.250000
Collaborative framing - Opus reflective,20-25,13,66.687500
Collaborative framing - Opus reflective,20-25,14,81.000000
Collaborative framing - Opus reflective,20-25,15,92.062500
Collaborative framing - Opus reflective,20-25,16,98.687500
Collaborative framing - Opus reflective,20-25,17,112.187500
Collaborative framing - Opus reflective,20-25,18,134.875000
Collaborative framing - Opus reflective,20-25,19,149.875000
Collaborative framing - Opus reflective,20-25,20,174.875000
Collaborative framing - Opus reflective,20-25,21,207.250000
Collaborative framing - Opus reflective,20-25,22,241.500000
Collaborative framing - Opus reflective,20-25,23,270.250000
Collaborative framing - Opus reflective,20-25,24,316.750000
Collaborative framing - Opus reflective,20-25,25,374.750000
Collaborative framing - Opus reflective,20-25,26,419.000000
Collaborative framing - Opus reflective,20-25,27,453.500000
Collaborative framing - Opus reflective,20-25,28,506.000000
Collaborative framing - Opus reflective,20-25,29,565.500000
Collaborative framing - Opus reflective,20-25,30,644.000000
Collaborative framing - Opus reflective,20-25,31,1122.000000
Collaborative framing - Opus reflective,30-40,0,4.914062
Collaborative framing - Opus reflective,30-40,1,5.445312
Collaborative framing - Opus reflective,30-40,2,7.445312
Collaborative framing - Opus reflective,30-40,3,9.273438
Collaborative framing - Opus reflective,30-40,4,11.609375
Collaborative framing - Opus reflective,30-40,5,15.195312
Collaborative framing - Opus reflective,30-40,6,20.031250
Collaborative framing - Opus reflective,30-40,7,25.125000
Collaborative framing - Opus reflective,30-40,8,31.062500
Collaborative framing - Opus reflective,30-40,9,38.343750
Collaborative framing - Opus reflective,30-40,10,47.125000
Collaborative framing - Opus reflective,30-40,11,49.375000
Collaborative framing - Opus reflective,30-40,12,61.875000
Collaborative framing - Opus reflective,30-40,13,70.500000
Collaborative framing - Opus reflective,30-40,14,77.937500
Collaborative framing - Opus reflective,30-40,15,84.875000
Collaborative framing - Opus reflective,30-40,16,93.125000
Collaborative framing - Opus reflective,30-40,17,106.312500
Collaborative framing - Opus reflective,30-40,18,121.062500
Collaborative framing - Opus reflective,30-40,19,130.375000
Collaborative framing - Opus reflective,30-40,20,154.625000
Collaborative framing - Opus reflective,30-40,21,179.750000
Collaborative framing - Opus reflective,30-40,22,207.750000
Collaborative framing - Opus reflective,30-40,23,238.250000
Collaborative framing - Opus reflective,30-40,24,275.500000
Collaborative framing - Opus reflective,30-40,25,323.250000
Collaborative framing - Opus reflective,30-40,26,365.000000
Collaborative framing - Opus reflective,30-40,27,401.750000
Collaborative framing - Opus reflective,30-40,28,457.250000
Collaborative framing - Opus reflective,30-40,29,524.500000
Collaborative framing - Opus reflective,30-40,30,599.500000
Collaborative framing - Opus reflective,30-40,31,1053.000000
Transactional framing - Opus procedural,8-10,0,6.441406
Transactional framing - Opus procedural,8-10,1,8.546875
Transactional framing - Opus procedural,8-10,2,7.062500
Transactional framing - Opus procedural,8-10,3,9.320312
Transactional framing - Opus procedural,8-10,4,12.085938
Transactional framing - Opus procedural,8-10,5,15.765625
Transactional framing - Opus procedural,8-10,6,21.750000
Transactional framing - Opus procedural,8-10,7,26.296875
Transactional framing - Opus procedural,8-10,8,31.046875
Transactional framing - Opus procedural,8-10,9,39.593750
Transactional framing - Opus procedural,8-10,10,46.062500
Transactional framing - Opus procedural,8-10,11,50.656250
Transactional framing - Opus procedural,8-10,12,62.906250
Transactional framing - Opus procedural,8-10,13,68.500000
Transactional framing - Opus procedural,8-10,14,76.750000
Transactional framing - Opus procedural,8-10,15,83.625000
Transactional framing - Opus procedural,8-10,16,93.625000
Transactional framing - Opus procedural,8-10,17,105.937500
Transactional framing - Opus procedural,8-10,18,124.375000
Transactional framing - Opus procedural,8-10,19,131.375000
Transactional framing - Opus procedural,8-10,20,152.875000
Transactional framing - Opus procedural,8-10,21,181.625000
Transactional framing - Opus procedural,8-10,22,207.125000
Transactional framing - Opus procedural,8-10,23,232.375000
Transactional framing - Opus procedural,8-10,24,269.500000
Transactional framing - Opus procedural,8-10,25,314.250000
Transactional framing - Opus procedural,8-10,26,360.500000
Transactional framing - Opus procedural,8-10,27,385.250000
Transactional framing - Opus procedural,8-10,28,454.250000
Transactional framing - Opus procedural,8-10,29,522.000000
Transactional framing - Opus procedural,8-10,30,593.000000
Transactional framing - Opus procedural,8-10,31,997.500000
Transactional framing - Opus procedural,20-25,0,5.984375
Transactional framing - Opus procedural,20-25,1,7.777344
Transactional framing - Opus procedural,20-25,2,6.972656
Transactional framing - Opus procedural,20-25,3,9.179688
Transactional framing - Opus procedural,20-25,4,11.812500
Transactional framing - Opus procedural,20-25,5,15.093750
Transactional framing - Opus procedural,20-25,6,21.578125
Transactional framing - Opus procedural,20-25,7,25.218750
Transactional framing - Opus procedural,20-25,8,29.140625
Transactional framing - Opus procedural,20-25,9,37.593750
Transactional framing - Opus procedural,20-25,10,46.562500
Transactional framing - Opus procedural,20-25,11,48.156250
Transactional framing - Opus procedural,20-25,12,57.593750
Transactional framing - Opus procedural,20-25,13,67.000000
Transactional framing - Opus procedural,20-25,14,81.625000
Transactional framing - Opus procedural,20-25,15,88.750000
Transactional framing - Opus procedural,20-25,16,96.562500
Transactional framing - Opus procedural,20-25,17,106.250000
Transactional framing - Opus procedural,20-25,18,120.375000
Transactional framing - Opus procedural,20-25,19,128.625000
Transactional framing - Opus procedural,20-25,20,147.750000
Transactional framing - Opus procedural,20-25,21,177.250000
Transactional framing - Opus procedural,20-25,22,205.375000
Transactional framing - Opus procedural,20-25,23,232.375000
Transactional framing - Opus procedural,20-25,24,269.750000
Transactional framing - Opus procedural,20-25,25,317.750000
Transactional framing - Opus procedural,20-25,26,367.000000
Transactional framing - Opus procedural,20-25,27,390.250000
Transactional framing - Opus procedural,20-25,28,460.250000
Transactional framing - Opus procedural,20-25,29,525.500000
Transactional framing - Opus procedural,20-25,30,587.500000
Transactional framing - Opus procedural,20-25,31,954.000000
Transactional framing - Opus procedural,30-40,0,6.304688
Transactional framing - Opus procedural,30-40,1,8.335938
Transactional framing - Opus procedural,30-40,2,6.894531
Transactional framing - Opus procedural,30-40,3,8.710938
Transactional framing - Opus procedural,30-40,4,11.765625
Transactional framing - Opus procedural,30-40,5,14.593750
Transactional framing - Opus procedural,30-40,6,20.140625
Transactional framing - Opus procedural,30-40,7,24.328125
Transactional framing - Opus procedural,30-40,8,28.906250
Transactional framing - Opus procedural,30-40,9,37.031250
Transactional framing - Opus procedural,30-40,10,45.843750
Transactional framing - Opus procedural,30-40,11,50.187500
Transactional framing - Opus procedural,30-40,12,57.343750
Transactional framing - Opus procedural,30-40,13,69.437500
Transactional framing - Opus procedural,30-40,14,73.937500
Transactional framing - Opus procedural,30-40,15,80.375000
Transactional framing - Opus procedural,30-40,16,87.437500
Transactional framing - Opus procedural,30-40,17,96.875000
Transactional framing - Opus procedural,30-40,18,113.062500
Transactional framing - Opus procedural,30-40,19,121.312500
Transactional framing - Opus procedural,30-40,20,146.375000
Transactional framing - Opus procedural,30-40,21,178.000000
Transactional framing - Opus procedural,30-40,22,208.625000
Transactional framing - Opus procedural,30-40,23,234.250000
Transactional framing - Opus procedural,30-40,24,276.250000
Transactional framing - Opus procedural,30-40,25,326.500000
Transactional framing - Opus procedural,30-40,26,372.250000
Transactional framing - Opus procedural,30-40,27,396.250000
Transactional framing - Opus procedural,30-40,28,467.500000
Transactional framing - Opus procedural,30-40,29,543.000000
Transactional framing - Opus procedural,30-40,30,627.500000
Transactional framing - Opus procedural,30-40,31,1081.000000
